index_num,idiom,idiom_stripped,s1,s2,s3,label,position,corrected_labels,total_i,total_l,total_na,incorrect_i,incorrect_l,incorrect_na,incorrect_total,total_duplicates
0,अघि सर्नु,अघि स,त्यसपछि मात्र यिनको प्रचार–प्रसार ज्यादा मात्रामा भएको हो ।,"भिडियो सहित
Posted in भिडियो
Prevशेरधन राइले चिनेकै छैन भन्दा बालिका ले ६ बर्ष देखी यौन शोशणको कुरा किन गरिन भन्दा यस्तो बबाल (भिडियो हेर्नुहोस)
Nextचर्को घाममा मकै पोल्ने ७६ वर्षीय आमा बुवा, यसरी सुनाए आफ्ना दुःखका कथा (भिडियो)
सम्वन्धित पोस्ट
घट्ना हुनु अघि सोमबार बिहान ९ बजेतिर आएको त्यो फोन……
दुर्घटनामा परेर विगत तीन वर्षदेखि ओछ्यान परेकी अभिनेत्री निशा घिमिरेको उपचार नर्भिकले अस्पतालले निःशुल्क गर्ने
सुजिताको घटना अनुसन्धान गरिरहेका प्रहरी भन्छन्, बाहिरका मान्छे आएर यहाँ के गरिरहेका छन् ?","हामीलाई सुजिताको परिवार भेट्न समेत दिँदैनन्
काका ससुराले बुहारीलाई हात का टेर र गतको सिन्दुर हाल्दै गर्दा यस्तो अवस्थामा भेटिए ससुरा बुहारी (भिडियो हेर्नुस्)
प्रतिकृया दिनुहोस्
Popular Posts
दिनभरी अर्कै केटा संग सुतेर आउथि राति एकलै सुत्थी,२ बर्ष सम्म मेरो श्रीमतीले मलाई छुन सम्म दिइन (1218)
हाम्रो सम्मानित अध्यक्ष हुनुहुन्छ केपी ओली, अब मिलेर एमालेलाई बलियो बनाउँछौं : भीम रावल (987)
शिल्पालाई सपोर्ट गर्दै प्रकाशलाई कडा जवाफ,कोहिलाई दारा निस्केको भन्यो कोहिलाई मानसिक समस्यामा पुरायो (भिडियो सहित) (930)
रात दिन श्रीमानको शा रीरिक स म्प र्कको या तना सहन नसक्दा (859)
प्रचण्डलाई छोडेर एमालेमा फर्किएकी रामकुमारी झाक्री र योगेशले गरे यस्तो घोषणा (827)
जस्तो गुरु तेस्तै चेला हुन किशोर खतिवडा,लक्ष्मीको कुनै हैसियत छैन श्रीजना वाग्लेलाई जथाभाबी भन्ने (भिडियो सहित) (780)
३ वर्ष पहिले बुवाको मृत्यु, अहिले आमा ले पनि संसार छोडिन् : बिचरा यी नाबालक हरुको बिचल्ली (748)
ओलीले राजिनामा दिंदै, ओलीकै प्रस्तावमा यी नेतालाई बनाउने भए प्रधानमन्त्री !",NA,"भिडियो सहित
Posted in भिडियो
Prevशेरधन राइले चिनेकै छैन भन्दा बालिका ले ६ बर्ष देखी यौन शोशणको कुरा किन गरिन भन्दा यस्तो बबाल (भिडियो हेर्नुहोस)
Nextचर्को घाममा मकै पोल्ने ७६ वर्षीय आमा बुवा, यसरी सुनाए आफ्ना दुःखका कथा (भिडियो)
सम्वन्धित पोस्ट
घट्ना हुनु अघि सोमबार बिहान ९ बजेतिर आएको त्यो फोन……
दुर्घटनामा परेर विगत तीन वर्षदेखि ओछ्यान परेकी अभिनेत्री निशा घिमिरेको उपचार नर्भिकले अस्पतालले निःशुल्क गर्ने
सुजिताको घटना अनुसन्धान गरिरहेका प्रहरी भन्छन्, बाहिरका मान्छे आएर यहाँ के गरिरहेका छन् ?",,219,61,377,28,5,3,36,0
1,अघि सर्नु,अघि स,चार महिनाअघि कोलम्बियाबाट डुंगामा पानामा जाने क्रममा डुंगा पल्टिँदा सातजना नेपालीसहित दर्जनौं आप्रवासीको मृत्यु भएको थियो ।,यसरी हरेक मुलुक पार गर्नुअघि स्थानीय दलालले नेपालको दलालले कबोल गरेको भन्दा अझै बढी रकम माग्छ र रकम नबुझाएमा त्यसभन्दा अगाडिको देशमा प्रवेश नगराउने चेतावनी दिएको हुन्छ ।,त्यसपछि उनीहरूले नेपालमा रहेका आफन्तलाई फोन गरेर पैसा पठाइ माग्छन् ।,NA,यसरी हरेक मुलुक पार गर्नुअघि स्थानीय दलालले नेपालको दलालले कबोल गरेको भन्दा अझै बढी रकम माग्छ र रकम नबुझाएमा त्यसभन्दा अगाडिको देशमा प्रवेश नगराउने चेतावनी दिएको हुन्छ ।,,,,,,,,,
2,अघि सर्नु,अघि स,लोकतान्त्रिक गठबन्धनका उम्मेदवार मन्त्री पाण्डे “विकासका लागि विक्रम पाण्डे” भन्ने नारा दिनुभएको छ ।,"माडीमा चक्रपथ निर्माण, निकुञ्जमा मेस जाली लगाएर वन्यजन्तु नियन्त्रण गर्ने, पश्चिम चितवनबाट नवलपरासी जोड्ने पुल, नदी नियन्त्रण, सडक कालोपत्रे र सिँचाइ जस्ता एजेण्डा उहाँले अघि सार्नुभएको छ ।","सो क्षेत्रको (क) प्रदेशबाट लोकतान्त्रिक गठबन्धनका उम्मेदवार दिनेश कोइरालाले “ सबल लोकतन्त्रका लागि हातेमालो, विकास निर्माण र समृद्धि अवको पालो” नारा दिनुभएको छ ।",I,"माडीमा चक्रपथ निर्माण, निकुञ्जमा मेस जाली लगाएर वन्यजन्तु नियन्त्रण गर्ने, पश्चिम चितवनबाट नवलपरासी जोड्ने पुल, नदी नियन्त्रण, सडक कालोपत्रे र सिँचाइ जस्ता एजेण्डा उहाँले ###अघि सार्नुभएको### छ ।",,,,,,,,,
3,अघि सर्नु,अघि स,"सोमबार सो क्षेत्रका पर्यटन व्यवसायीहरुले पत्रकार सम्मेलन गरेर पर्यटन बोर्डको १५ वर्षको इतिहासमा अहिलेसम्म कार्यकारी समितिमा सुदुर र मध्यपश्चिमबाट कहिल्यै पनि प्रतिनिधित्व नभएको, बोर्डको बजेटको एक प्रतिशत पनि लगानी नगरेर विभेद गरिएको दावी गरे ।","व्यवसायीहरुले बोर्डलाई विकेन्द्रीत गरेर क्षेत्रीय स्तरमा लगिनु पर्ने, समावेशीताको आधारमा बोर्डमा सबैको प्रतिनिधित्व हुनु पर्ने, बोर्ड भित्र भएको आर्थिक अनियमितताको छानविन गरिनु पर्ने र हालै पुर्ननियूक्ती गरिएका बोर्डका दुई सदस्यको नियूक्ती फिर्ता लिनु पर्ने माग अघि सारेका छन् ।",पत्रकार सम्मेलनमा बोल्दै मध्यपश्चिमका पर्यटन ब्यवसायी वैकुण्ठ प्रधानले बोर्डले मध्य र सुदुरपश्चिमकालागि छुट्याईएको बजेट अन्यत्रै खर्च गरेको भन्दै त्यसको छानविन हुनु पर्ने माग गरे ।,I,"व्यवसायीहरुले बोर्डलाई विकेन्द्रीत गरेर क्षेत्रीय स्तरमा लगिनु पर्ने, समावेशीताको आधारमा बोर्डमा सबैको प्रतिनिधित्व हुनु पर्ने, बोर्ड भित्र भएको आर्थिक अनियमितताको छानविन गरिनु पर्ने र हालै पुर्ननियूक्ती गरिएका बोर्डका दुई सदस्यको नियूक्ती फिर्ता लिनु पर्ने माग ###अघि सारेका### छन् ।",,,,,,,,,
4,अघि सर्नु,अघि स,महासंघले यात्रुहरूका लागि निकास परीक्षण आवश्यकता हटाएको छ जसको मूल देशहरूलाई फिर्ता परीक्षण आवश्यक छैन।,"प्रस्थान परीक्षणहरू प्रस्थान गर्नुभन्दा ४८ - ७२ घन्टा अघि स्वास्थ्य मन्त्रालयले अनुमोदित स्वास्थ्य पेशेवरद्वारा मात्रै आगन्तुकहरू ""यात्रा स्वीकृत"" होटेल वा आवासमा लिइनेछ, नमूनाहरू प्रमाणित स्थानीय प्रयोगशालामा परीक्षण गरीएको छ।","परीक्षण को तालिका सम्बन्धित ""यात्रा स्वीकृत"" होटल मा होटल दरबान को माध्यम बाट हुनु पर्छ; भिल्ला, कन्डो र/वा निजी घरहरुमा बस्ने यात्रीहरुलाई कोभिड -१ task टास्कफोर्स हटलाइन ३११ मा सम्पर्क गर्न सल्लाह दिईन्छ।",NA,"प्रस्थान परीक्षणहरू प्रस्थान गर्नुभन्दा ४८ - ७२ घन्टा अघि स्वास्थ्य मन्त्रालयले अनुमोदित स्वास्थ्य पेशेवरद्वारा मात्रै आगन्तुकहरू ""यात्रा स्वीकृत"" होटेल वा आवासमा लिइनेछ, नमूनाहरू प्रमाणित स्थानीय प्रयोगशालामा परीक्षण गरीएको छ।",,,,,,,,,
5,अटेर गर्नु,अटेर ग,हनुमन्ते करिडोर बन्न नदिन माफियाको गिरोह नै सक्रिय रहेका उल्लख गर्दै उनले विगत दुई वर्षदेखि करिडोर क्षेत्रमा परेको साख कम्पनीको पर्खाल भत्काउन आयोजनाले ताकेता गर्दा पनि नभत्काएर अवरोध पुर्याएपछि सूर्यविनायक नगरपालिका र जिल्ला प्रशासन कार्यालयले डोजर लगाएर भत्काउनु परेको सुनाए ।,"सांसद बस्नेतले भने, ‘भूकम्पले भत्काएको पर्खाल नलगाउन आग्रह गर्दा पनि साख कम्पनीले मानेन, करिडोर निर्माण रोकिएकाले पर्खाल भत्काउन दुई वर्षदेखि पटकपटक सूचना जारी गर्दा पनि अटेर ग¥यो, अदालतमा परेको मुद्दा पनि करिडोरकै पक्षमा फैसला भयो, अनि बाध्य भएर पर्खाल भत्काएर करिडोर निर्माण अगाडि बढाएको छ, अब रोकिन्न ।’",आगामी जेठसम्ममा हनुमन्ते करिडोर निर्माण पूरा गर्न नसके रु दुई अर्ब रकम फिर्ता जाने जनाउँदै उनले विकास रोकेर बजेट फिर्ता पठाउन खोज्ने माफियालाई लखेट्न हातमा लाठो लिएर यहाँका जनता प्रतिकारमा उत्रिनुपर्ने बताए ।,L,"सांसद बस्नेतले भने, ‘भूकम्पले भत्काएको पर्खाल नलगाउन आग्रह गर्दा पनि साख कम्पनीले मानेन, करिडोर निर्माण रोकिएकाले पर्खाल भत्काउन दुई वर्षदेखि पटकपटक सूचना जारी गर्दा पनि ###अटेर ग¥यो###, अदालतमा परेको मुद्दा पनि करिडोरकै पक्षमा फैसला भयो, अनि बाध्य भएर पर्खाल भत्काएर करिडोर निर्माण अगाडि बढाएको छ, अब रोकिन्न ।",,,,,,,,,
6,अटेसमटेस हुनु,अटेसमटेस ह,यात्रु कोच्न थालिँदो रहेछ।,"हामी गएको बसमा पनि हिँड्ने प्यासेजमा ४ वटा कुखुराको दानाका ठूलो ठूलो बोरा राखियो, अनि यात्रुहरू पनि अटेसमटेस हुने गरी।",पटक पटक हुने दुर्घटनाको कारण यही क्षमताभन्दा बढी यात्रु कोच्ने प्रवृति पनि हो ।,L,"हामी गएको बसमा पनि हिँड्ने प्यासेजमा ४ वटा कुखुराको दानाका ठूलो ठूलो बोरा राखियो, अनि यात्रुहरू पनि ###अटेसमटेस हुने### गरी।",,,,,,,,,
7,अटेसमटेस हुनु,अटेसमटेस ह,"मान्छेले जीवमाथि, प्राणीमाथि अत्याचार गर्छ ।","गाडीभित्र अटेसमटेस हुने गरी भैँसीलाई कोच्छ, नेपाल–भारततिर गाईगोरु चाहिँ धार्मिक आस्थाका कारण अलिक त्यो पीडामा क्रुरता भोग्नबाट जोगिएका हुन्छन् ।",सिङ र पुच्छर दुवै बाँधिएका मुन्टो भाँच्चिने गरी गाडीमा अप्ठ्यारो अवस्था र पीडाको पराकाष्ठा भोग्न विवस भैँसीका पाडाले सडकमा उत्रेर आन्दोलन गर्न सक्दैनन् ।,L,"गाडीभित्र ###अटेसमटेस हुने### गरी भैँसीलाई कोच्छ, नेपाल–भारततिर गाईगोरु चाहिँ धार्मिक आस्थाका कारण अलिक त्यो पीडामा क्रुरता भोग्नबाट जोगिएका हुन्छन् ।",,,,,,,,,
8,अड्कल काट्नु,अड्कल क,यदि हमला या आक्रमण भइहालेमा उत्तर कोरियाली समर्थक राष्ट्र या अमेरिका बिरोधी राष्ट्रहरु अनि समर्थक राष्ट्रहरुको ध्रुविकरणमा तेश्रो बिश्वयूद्धको श्रीगणेश हुने देखिन्छ ।,तर उत्तर कोरियाले आफ्ना आणविक हतियारलाई अमेरिकी भूमिमा प्रक्षेपण भन्दा पनि अमेरिका र बिश्वसंग वार्ता गर्न आफ्नो बलियो पक्षका रुपमा राख्ने र बार्गेन गर्ने अस्त्रका रुपमा मात्रै राख्ने पनि अड्कल काटिएको छ ।,सत्य त यो हो कि उत्तर कोरियाको उदेश्य र सार्मथ्य के छ कसैलाई थाहा छैन ।,I,तर उत्तर कोरियाले आफ्ना आणविक हतियारलाई अमेरिकी भूमिमा प्रक्षेपण भन्दा पनि अमेरिका र बिश्वसंग वार्ता गर्न आफ्नो बलियो पक्षका रुपमा राख्ने र बार्गेन गर्ने अस्त्रका रुपमा मात्रै राख्ने पनि ###अड्कल काटिएको### छ ।,,,,,,,,,
9,अड्कल काट्नु,अड्कल क,बिशेषगरी लोक तथा दोहोरी गीत संगीतको क्षेत्रमा उनपढ कलाकार हुन्छन् भन्ने पश्चिमी संगीत प्रेमीहरुको टिका टिप्पणी बेला बखत सुन्न सकिन्छ तर हरी आफ्नो अध्यनको डिग्री यात्रा संगै हाल पल्स टु को क्षिक्षण पेशा पनि सम्हाली रहेका छन् ।,साथै एक एन जी ओ मा समेत आफ्नो दैनिकीलाई अगाडी बढाइरहेका हरी सुनारको यस नेपाली लोक तथा दोहोरी गीत संगीतको क्षेत्रमा आगमनले पनि यो अड्कल काट्न सकिन्छ कि नेपाली लोक तथा दोहोरी गीत संगीतको क्षेत्रमा धेरै पढे लेखेका कलाकारहरुको बाहुल्यता छ ।,गायक हरी भन्छन् पश्चिमी संस्कृतिले छोपेको हाम्रो सांगीतिक क्षेत्रमा हामी जस्ता सचेत नागरिकहरु कुनै वडार मै सिमित हुने हो भने भोलि हाम्रो लोक गीतको पहिचान हामीले अन्य कुनै बेदिशीहरु संग बुझ्न बाध्य हुनेछौं ।,I,साथै एक एन जी ओ मा समेत आफ्नो दैनिकीलाई अगाडी बढाइरहेका हरी सुनारको यस नेपाली लोक तथा दोहोरी गीत संगीतको क्षेत्रमा आगमनले पनि यो ###अड्कल काट्न### सकिन्छ कि नेपाली लोक तथा दोहोरी गीत संगीतको क्षेत्रमा धेरै पढे लेखेका कलाकारहरुको बाहुल्यता छ ।,,,,,,,,,
